Тема,Ключ проблемы,Идентификатор проблемы,Тип задачи,Статус,Ключ проекта,Название проекта,Тип проекта,Руководитель проекта,Описание проекта,URL проекта,Приоритет,Решение,Исполнитель,Автор,Создатель,Cоздано,Обновленo,Последний просмотр,Дата решения,Срок исполнения,Голоса,Описание,Окружение,Наблюдатели,Первоначальная оценка,Оставшееся время,Затраченное время,КПД (полезная работа/затраченная работа),Суммарная первоначальная оценка,Суммарное оставшееся время,Суммарное затраченое время,Уровень безопасности,Вложение,Пользовательское поле (Epic Color),Пользовательское поле (Epic Link),Пользовательское поле (Epic Name),Пользовательское поле (Epic Status),Пользовательское поле (Original story points),Пользовательское поле (Parent Link),Пользовательское поле (Rank),Пользовательское поле (Story Points),Пользовательское поле (Target end),Пользовательское поле (Target start),Пользовательское поле (Team)
"Ошибка: ""Кнопка 5000 не работает""",ASN-30,10508,Ошибка,Сделать,ASN,автомат с напитками,software,admin,,,Highest,,,MoiseevQA,MoiseevQA,25/апр/21 6:24 AM,25/апр/21 6:24 AM,25/апр/21 6:25 AM,,,0,"При выборе номинала кнопка 5000 должна быть активна

О.Р.

При нажатии на кнопку 5000 рублей, сумма должна отобразиться в графе ""Уже внесли""

Ф.Р.

При нажатии на кнопку 5000 рублей, сумма не отображается в графе ""Уже внесли""",,MoiseevQA,,,,,,,,,,,,,,,,"0|i000zz:",,,,
"Ошибка: ""Скидка рассчитывается не корректно",ASN-29,10506,Ошибка,Сделать,ASN,автомат с напитками,software,admin,,,Highest,,,MoiseevQA,MoiseevQA,25/апр/21 6:22 AM,25/апр/21 6:22 AM,25/апр/21 6:22 AM,,,0,"Автомат выдаёт цену с учётом скидки 704. Если просчитать стоимость разлива по формул из ТЗ= (фиксированная стоимость 1л напитка) / 10 * V/0.1=110/10*6,3/0,1=704 рубля. Со скидкой=704*0,9=634 рублей.",,MoiseevQA,,,,,,,,,"25/апр/21 6:22 AM;MoiseevQA;image-2021-04-25-10-22-53-699.png;http://89.223.126.182:8080/secure/attachment/10303/image-2021-04-25-10-22-53-699.png",,,,,,,"0|i000zj:",,,,
"Ошибка: ""Кнопка пересчитать не работает""",ASN-28,10505,Ошибка,Сделать,ASN,автомат с напитками,software,admin,,,Highest,,,MoiseevQA,MoiseevQA,25/апр/21 6:21 AM,25/апр/21 6:21 AM,25/апр/21 6:21 AM,,,0,"При вводе кода 5555 кнопка ""Пересчитать"" должна быть активной

О.Р.

Кнопка ""Пересчитать"" срабатывает и мы получаем скидку

Ф.Р.

Кнопка ""Пересчитать"" в разделе промокод не срабатывает",,MoiseevQA,,,,,,,,,,,,,,,,"0|i000zb:",,,,
"Ошибка ""Не удаляется одна единственная позиция на главном экране""",ASN-27,10503,Ошибка,Сделать,ASN,автомат с напитками,software,admin,,,Medium,,,MoiseevQA,MoiseevQA,25/апр/21 6:17 AM,25/апр/21 6:17 AM,25/апр/21 6:17 AM,,,0,"Если в списке продуктов одна позиция, она должна удалиться после соответствующей команды

О.Р. 

Позиция удалилась

Ф.Р.

Если осталась одна позиция, то она не удаляется",,MoiseevQA,,,,,,,,,,,,,,,,"0|i000yv:",,,,
Ошибка оплаты шести напитков,ASN-26,10502,Ошибка,Сделать,ASN,автомат с напитками,software,admin,,,Highest,,,MoiseevQA,MoiseevQA,25/апр/21 6:15 AM,25/апр/21 6:15 AM,25/апр/21 6:15 AM,,,0,"При выборе шесть напитков не должна пройти оплата (в ТЗ прописано максимальное количества заказа 5 шт)

О.Р.

Оплата не прошла так как превышено максимальное количество напитков

Ф.Р.

Оплата прошла",,MoiseevQA,,,,,,,,,"25/апр/21 6:15 AM;MoiseevQA;image-2021-04-25-10-15-00-442.png;http://89.223.126.182:8080/secure/attachment/10302/image-2021-04-25-10-15-00-442.png",,,,,,,"0|i000yn:",,,,
Кнопка добавления Nuka-Cola 0.2л не работает,ASN-25,10501,Ошибка,Сделать,ASN,автомат с напитками,software,admin,,,Highest,,,MoiseevQA,MoiseevQA,25/апр/21 6:12 AM,25/апр/21 6:12 AM,25/апр/21 6:12 AM,,,0,"При выбое Nuka-Cola 0,2 л в списке должна появиться она же

*О.Р.*

**Напиток Nuka-Cola 0,2 литра появился в списке покупок при его выборе

*Ф.Р.*

Появился напиток Nuka-Cola 0,5 в списке покупок при выборе Nuka-Cola 0,2",,MoiseevQA,,,,,,,,,,,,,,,,"0|i000yf:",,,,
Ошибка: Добавление 6 позиции,ASN-24,10500,Ошибка,Сделать,ASN,автомат с напитками,software,admin,,,High,,,MoiseevQA,MoiseevQA,25/апр/21 6:06 AM,25/апр/21 6:08 AM,25/апр/21 6:25 AM,,,0,"Добавить 6 позицию в счёт

*О.Р.*

В списке покупок должно быть пять позиций, шестая не должна добавляться

*Ф.Р.*

Шестая позиция добавилась",,MoiseevQA,,,,,,,,,"25/апр/21 6:08 AM;MoiseevQA;image-2021-04-25-10-08-11-489.png;http://89.223.126.182:8080/secure/attachment/10301/image-2021-04-25-10-08-11-489.png",,,,,,,"0|i000y7:",,,,
Протестить автомат с напитками,ASN-1,10020,Задача,Сделать,ASN,автомат с напитками,software,admin,,,Medium,,,MoiseevQA,MoiseevQA,18/апр/21 8:32 AM,18/апр/21 8:32 AM,25/апр/21 6:26 AM,,,0,,,MoiseevQA,,,,,,,,,,,,,,,,"0|i0004f:",,,,
